Fruits_Vegetables_Name,Nutrition_Facts,
Apple,"Good for weight loss and your Heart. They're linked to a lower risk of Diabetes. They have Prebiotic effects and promote good Gut Bacteria, help prevent Cancer and contain compounds that can help fight Asthma.",
Apricot,"Increases metabolism, which improves digestion preventing constipation and can help the body feel fuller, longer to aid in weight loss. Can help lower bad cholesterol levels.",
Avocado,"Great source for Omega-3 Fatty Acids, antioxidants, Vitamin E, Vitamin K and Fiber. Eating avocados on a regular basis helps develop strong hair, nails, and healthy skin.",
Banana,Contain Manganese which is good for your skin. Potassium which is good for your heart health and blood pressure. They can aid digestion and help beat gastrointestinal issues. Bananas give you energy. They are good for digestion and help reduce the risk of cancer.,
Beetroot,"Associated with numerous health benefits, including improved blood flow, lower blood pressure, and increased exercise performance","Associated with numerous health benefits, including improved blood flow, lower blood pressure, and increased exercise performance"
Blueberry,"Lower your risk of heart disease and cancer, they are also anti-inflammatory.",
Brazil_Nut,"Nutritional powerhouses, providing healthy fats, antioxidants, vitamins, and minerals. They're particularly high in selenium, a mineral with potent antioxidant properties. Eating Brazil Nuts reduce inflammation, support brain function, and improve your thyroid function and heart health.",
Cactus_fruit,"Decrease blood sugar, reduce inflammation, and lower cholesterol.",
Cantaloupe,"100% of the daily value for vitamin C. A powerful antioxidant that protects your cells from damage. All your daily value of vitamin A, which helps keep your eyes, skin, bones, and immune system healthy.",
Carambula,"Is anti-inflammatory and Heart-friendly. It Promotes weight loss, regulates blood pressure, boosts digestion and is diabetic-friendly. It improve metabolism, helps reduce cholesterol levels, and improve respiratory health.",
Cauliflower, High in fiber and B-vitamins. It provides antioxidants and phytonutrients that can protect against Cancer. It also contains fiber to enhance weight loss and digestion and Choline that is essential for learning and memory.,
Cherry,"High in antioxidants, a great source of Beta Carotene, Vitamin C and Vitamin E.",
Chestnut,"Contain fat-soluble B vitamins that promote healthy skin, produce red blood cells and improve brain function. Contains high amounts of carbohydrates, which are needed for short and long term energy. They also help with nervous system function",
Clementine,"Improves brain health and skin. Promotes strong bones, healthy muscles, oral health, and heart health. It has anti-cancer properties. Aids in digestion and electrolytes balance.",
Coconut,"Provides good fats, enhances weight loss, keeps you hydrated improves skin health. Fights bacteria. Ensures healthy teeth and bones. Eliminates scalp infections.",
Corn,"Contains valuable B vitamins, which are important to your overall health. Provides essential minerals such as zinc, magnesium, copper, iron and manganese. Corn is a good source of antioxidants and carotenoids, and lutein and zeaxanthin which promote eye health.",
Cucumber_Ripe,It contains antioxidants. It promotes hydration. Aids in weight loss and lowering blood sugar. Promotes regularity in digestion.,
Dates," Help lower cholesterol. It is protein, vitamin and iron rich. Improves bone health, strengthens the nervous system, promotes digestion, and improves skin.",
Eggplant,"Helps with digestion, improves heart health, aids in cancer and anemia prevention, improves bone health, and increases brain function.",
Fig,"High in natural sugars, minerals and soluble fiber. Rich in minerals including Potassium, Calcium, Magnesium, Iron and Copper and are a good source of antioxidant Vitamins A and K that contribute to health and wellness.",
Ginger_Root,"Treats nausea, reduces muscle pain and soreness is an anti-inflammatory, improves heart disease risk factors, treats indigestion, reduces menstrual pain, lowers cholesterol. prevent Cancer. Improves brain function, protects against Alzheimer’s Disease and fights infections.",
Granadilla,"Ideal for diabetics. Boosts immune system. Reduces anxiety, increases blood cell count improves gut health. It is a mild sedative. Lowers blood pressure and aids in muscle recovery. Regulates heart rate and blood pressure and reduces risk of cardivascular disease. Combats free radicals. Helps absorb iron",
Grape,"Grapes contain powerful antioxidants known as Polyphenols, improve heart health, blood pressure, reduces constipation, improves allergy symptoms, improves diabetes and eye health.",
Grapefruit,Benefit your immune system and promotes appetite control. It Has Been Shown to Aid in weight Loss. Grapefruit help prevent insulin resistance and diabetes. Eating Grapefruit improve heart health. It's high in powerful antioxidants and reduce the risk of kidney stones.,
Guave,help lower blood sugar levels. boost heart health. help relieve painful symptoms of menstruation. benefit Digestive System. aid in weight loss. have an anticancer effect. help boost your immunity. Eating Guavas is good for skin.,
Hazelnut," Hazelnuts are good for your heart, help reduce the risk of cancer, and aid in muscle, skin, bone, joint and digestive health.",
Huckleberry," Beneficial to the pancreas in digesting sugars and starches. High in Iron and help to build blood, help lower cholesterol, protects against Heart Disease, Glaucoma, Varicose Veins, Hemorrhoids, and Peptic Ulcers.",
Kaki,Loaded with nutrients. Excellent source of powerful antioxidants. Benefits Heart health. help reduce inflammation. Rich in Fiber. Supports Healthy Vision.,
Kiwi,Helps treat asthma. Aids digestion. Boosts immune system. Helps prevent sickness. Manages blood pressure. Reduces blood clotting. Protects against vision loss. Potential risks.,
Kohlrabi," Kohlrabi contains a wide array of antioxidants, such as Vitamin C, Anthocyanins, Isothiocyanates, and Glucosinolates. Diets high in antioxidant-rich vegetables like kohlrabi are associated with a reduced risk of diabetes, metabolic disease, and premature death",
Kumquats, They're high in Vitamins C and offer some Vitamin A. The skin is full of fiber and antioxidants (substances that can protect your cells). Kumquats are also cholesterol-free and low in fat and sodium.,
Lemon,It promotes hydration. It's a good source of vitamin C. It supports weight loss. It improves your skin quality. It aids digestion. It freshens breath. It helps prevent kidney stones,
Limes," Rejuvenates skin. Several skin care products claim to promote healthier, younger looking skin. Improves digestion. Fights infections. Helps with weight loss. Lowers blood sugar. Reduces heart disease. Prevents cancer. Reduces inflammatio",
Lychee,"Good for your Skin. Lychee can help fight signs of ageing and blemishes. Aid weight loss. Lychee is a great source of dietary fiber which plays an instrumental role in weight loss. Promotes stronger bones. Lychee is full of essential nutrients like Magnesium, Phosphorus, Iron, Manganese and Copper.",
Mandarine," Mandarins contain Vitamins A, B, and a high level of Vitamin C, powerful antioxidants that neutralizes free radicals, prevents infections, cramps, and vomiting, and is great for the health of your skin.",
Mango,It helps in fighting cancer. Helps in maintaining Cholesterol level. It helps in cleansing skin. Helps in regulating diabetes. Helps in alkalising your body. A way to lose weight. For healthy eyes. They also aid in digestion and provide Potassium.,
Mangostan, Good source of antioxidants and vitamins. Boosts immunity. Helpful for menstrual problems. Regulates blood pressure and boosts Heart health. Anti-inflammatory properties. Boosts skin care. Aides with digestion.,
Maracuja,Provides key nutrients. Rich in antioxidants. Good source of Fiber. Low Glycemic index. Improve insulin sensitivity. Boosts the immune system. Supports heart health. Reduce anxiety.,
Melon_Piel_de_Sapo,"It is very rich in Potassium which is good for your heart. Its main quality is the high concentration of Vitamins A and C: just 200 grams of melon, in fact, contain 60 mg of Vitamin C which is good to strengthen the immune system and protect the skin.",
Mulberry,Digestive health. Improves blood circulation. Boosts your immune system. Improves you vision. Treats dry and sensitive skin. Good for your hair. Anti-ageing properties. Maintains heart health.,
Nectarine,"Improved metabolism, digestion, and heart health.","Improved metabolism, digestion, and heart health."
Onion,Benefit Heart Health. Loaded with Antioxidants. Helps control blood sugar. boost bone density. Have antibacterial properties. boost digestive health.,
Orange,Healthy immune system. Prevents skin damage. Keeps blood pressure in check. Lowers cholesterol. Controls blood sugar level. Lowers the risk of cancer.,
Papaya,Helps in improving eye health. Aids digestion. Anti-ageing. Boosts Immunity. Helps in weight loss. Better kidney health. Great for diabetics. Better cardiovascular health.,
Passion_Fruit,"Passion fruit is highly rich in Vitamin C, Beta-Cryptoxanthin and Alpha-Carotene that boosts your immunity. It also has Iron which increases Haemoglobin in red blood cells. The rich content of Riboflavin (Vitamin B6) and Niacin (Vitamin B3) in passion fruit helps in regulating the thyroid activity in our body",
Peach,"Peaches are full of Vitamin C, Vitamin A, Vitamin K, Vitamin B6, Potassium, Magnesium, Calcium and Iron",
Pear,"Promotes gut health, improves digestion, anti-inflammatory, anti-cancer effects, lowers risk of diabetes, and boosts heart health.",
Pecan,Pecan nuts contain Monounsaturated Fats such as Oleic Acid along with Phenolic Antioxidants which help reduce the risk of Heart Disease. Improves Digestion. Helps with weight Loss. Reduces the Risk of Cancer. Anti-Inflammatory benefits. Boosts immunity. Prevents skin problems. Anti-aging benefits.,
Pepino,Reduces the risks of stress. Reduces the risk of hypertension. Helps in preventing diabetes. It lowers the blood cholesterol levels. It is essential in increasing stamina.,
Bell_Pepper,"Reduced risk of many chronic illnesses, such as Cancer and Heart Disease. Eye health. Anemia prevention.",
Physalis,Used as a Diuretic. Protecting Liver and Kidney against Fibrosis. Healthy Pregnancy. Relief of Arthritis Pain. Improved cognitive ability. Cardiovascular functions. Improves Eyesight.,
Pineapple,Contains disease-fighting antioxidants. Its enzymes can ease digestion. help reduce the risk of Cancer. boost immunity and suppress inflammation. ease symptoms of Arthritis. speed recovery after surgery or strenuous exercise,
Pitahaya_Red,"It's rich in antioxidants like Flavonoids, Phenolic Acid, and Betacyanin. It's naturally fat-free and high in Fiber. It help lower your blood sugar. It contains Prebiotics, which are foods that feed the healthy bacteria called Probiotics in your gut. Heart Healthy. Skin Care.",
Plum,Relieves constipation. Protect the body against cell and tissue damage. Helps lower blood sugar. Promotes bone health. Plums benefit Heart health. They aid in digestion. Reduce anxiety.,
Pomegranate,Protects us from free radicals. It thins your blood. Prevents Atherosclerosis. It acts like an oxygen mask. It prevents Arthritis. Fights Erectile Dysfunction. Fights Heart Disease and Prostate Cancer.,
